district_code,district_name,gu_name,dong_name,industry,year,quarter,lat,lng,pop_total,households,age_20_30_ratio,age_40_50_ratio,workplace_pop,resident_pop,foot_traffic_daily,foot_traffic_lunch,foot_traffic_dinner,dwell_time_avg,foot_traffic_3yr_growth,card_sales_avg,industry_spend_ratio,avg_ticket_size,competitor_count_100m,competitor_count_500m,openings_1yr,closures_1yr,competitor_density,avg_operating_months,rent_per_m2,vacancy_rate,building_age,transit_passengers_daily,data_quality_score,monthly_revenue_actual,target_monthly_revenue,target_success_label,target_closure_risk
100011,강남구 동1가 상권,강남구,강남구 동1가,카페/디저트,2023,Q3,37.636535,127.041259,16756,6724,0.2291,0.3227,356,13968,12484,3953,3590,80.1,0.1797,35770.0,0.369,9008.0,4,27,4,0,0.6,71.2,79044.0,0.0725,24.6,31622,0.962,10440445.0,1044.0,0,1
100012,강남구 동1가 상권,강남구,강남구 동1가,소매/패션,2022,Q1,37.452382,127.011346,22877,10830,0.3095,0.2592,2038,18571,20133,6330,6342,26.6,-0.0795,22938.0,0.221,16575.0,12,106,1,1,2.356,83.1,50900.0,0.0667,7.5,80053,0.984,16281779.0,1628.2,0,2
100013,강남구 동2가 상권,강남구,강남구 동2가,미용/뷰티,2026,Q1,37.611227,127.078555,21043,9382,0.3534,0.2479,24933,18277,36170,9925,15822,72.2,0.1971,63255.0,0.345,18976.0,4,32,4,2,0.711,57.0,56782.0,0.0669,20.6,131531,0.878,32030930.0,3203.1,0,2
100014,강남구 동2가 상권,강남구,강남구 동2가,병의원/클리닉,2022,Q3,37.646045,127.122943,8379,3295,0.265,0.2476,31261,7260,65505,21966,21209,48.9,-0.0424,35595.0,0.384,11778.0,11,79,6,2,1.756,26.7,76227.0,0.0661,30.3,35019,0.859,62935721.0,6293.6,1,2
100015,강남구 동2가 상권,강남구,강남구 동2가,미용/뷰티,2025,Q2,37.524716,126.995016,11421,4969,0.2578,0.2614,38227,8319,102998,31266,33205,75.3,-0.1727,68975.0,0.273,18535.0,7,68,4,0,1.511,62.2,65156.0,0.0334,6.4,5695,0.881,50106487.0,5010.6,0,0
100016,강남구 동2가 상권,강남구,강남구 동2가,미용/뷰티,2024,Q3,37.550293,127.111283,21744,8838,0.2852,0.3039,4861,18340,29778,11200,12662,33.9,-0.0697,46212.0,0.41,24620.0,9,93,5,3,2.067,33.3,97890.0,0.1195,30.2,164649,0.93,18478751.0,1847.9,0,2
100017,강남구 동2가 상권,강남구,강남구 동2가,미용/뷰티,2023,Q4,37.466716,126.937777,17049,7830,0.417,0.3017,73907,13306,86415,31821,26602,33.9,0.119,42639.0,0.265,21711.0,8,66,9,0,1.467,58.7,81443.0,0.059,37.6,69446,0.872,66237048.0,6623.7,1,0
100018,강남구 동2가 상권,강남구,강남구 동2가,병의원/클리닉,2022,Q2,37.516951,127.015497,31403,14577,0.3307,0.3442,15345,23720,32735,10035,11263,72.1,-0.1777,66188.0,0.277,22736.0,12,100,3,4,2.222,30.2,60746.0,0.0372,4.4,22778,0.987,43435329.0,4343.5,0,2
100019,강남구 동2가 상권,강남구,강남구 동2가,병의원/클리닉,2025,Q3,37.625203,126.942125,22628,9800,0.3661,0.3943,62934,18238,68589,21047,20370,58.6,0.0661,32343.0,0.334,9339.0,12,121,2,1,2.689,67.3,57395.0,0.078,23.0,39709,0.959,108179304.0,10817.9,1,0
100020,강남구 동2가 상권,강남구,강남구 동2가,음식점/식당,2024,Q3,37.588983,127.049954,32250,13874,0.2701,0.15,20165,27935,71018,23144,28289,67.4,0.2297,31704.0,0.352,10370.0,7,40,5,2,0.889,44.5,30898.0,0.0803,11.4,271846,0.926,42600750.0,4260.1,1,2
100021,강남구 동2가 상권,강남구,강남구 동2가,음식점/식당,2025,Q4,37.539592,126.87294,29694,13698,0.2354,0.3741,2486,25221,25153,8758,9943,50.8,0.2304,42583.0,0.292,18483.0,7,56,4,1,1.244,56.1,50326.0,0.0192,27.5,10092,0.948,26536550.0,2653.7,0,1
100022,강남구 동2가 상권,강남구,강남구 동2가,병의원/클리닉,2024,Q1,37.503486,126.870298,26690,10709,0.2822,0.2894,33757,21895,119680,37873,44262,53.3,-0.0846,59711.0,0.244,19665.0,5,50,6,5,1.111,56.4,76934.0,0.0767,29.8,10325,0.967,110675487.0,11067.5,1,2
100023,강남구 동2가 상권,강남구,강남구 동2가,소매/패션,2022,Q1,37.485687,126.983446,17875,7346,0.214,0.2939,9231,14554,22128,4976,7441,49.8,0.1966,64145.0,0.158,15099.0,5,44,5,0,0.978,20.4,84013.0,0.01,24.2,22046,0.855,21845884.0,2184.6,0,0
100024,강남구 동2가 상권,강남구,강남구 동2가,미용/뷰티,2023,Q1,37.585045,126.974891,20926,8987,0.35,0.3133,47943,15778,132245,40025,53687,78.2,-0.0147,41346.0,0.385,14306.0,9,77,5,4,1.711,40.9,53656.0,0.1,9.2,63900,0.909,63123920.0,6312.4,1,2
100025,강남구 동3가 상권,강남구,강남구 동3가,음식점/식당,2024,Q3,37.492344,127.124352,15817,6261,0.4468,0.3383,38022,11634,66768,18489,22930,28.4,-0.0865,56052.0,0.317,14742.0,19,151,2,3,3.356,29.2,91909.0,0.0467,20.1,63736,0.951,55295200.0,5529.5,0,2
100026,강남구 동3가 상권,강남구,강남구 동3가,카페/디저트,2024,Q1,37.550806,126.964297,18294,7619,0.4202,0.2657,67010,15424,101878,32764,43139,53.1,-0.2144,51292.0,0.171,12690.0,11,53,1,2,1.178,40.5,66028.0,0.0868,9.6,4493,0.948,56134588.0,5613.5,0,2
100027,강남구 동3가 상권,강남구,강남구 동3가,미용/뷰티,2023,Q4,37.569848,126.984299,16746,6904,0.3803,0.3869,227,11576,10159,3752,4137,55.1,0.1566,47729.0,0.177,10888.0,14,136,2,2,3.022,54.8,101679.0,0.0718,24.0,3623,0.971,9954850.0,995.5,0,2
100028,강남구 동3가 상권,강남구,강남구 동3가,미용/뷰티,2026,Q2,37.509108,126.974827,28363,12625,0.3399,0.2082,12929,20265,26184,8355,9407,49.8,-0.0434,15141.0,0.412,18845.0,11,73,1,0,1.622,21.7,62825.0,0.011,23.1,17042,0.984,30330091.0,3033.0,0,0
100029,강남구 동3가 상권,강남구,강남구 동3가,소매/패션,2023,Q1,37.461839,126.870833,26525,13022,0.3593,0.248,13410,19006,48520,13691,16067,28.5,0.1401,43673.0,0.359,23516.0,5,24,6,3,0.533,35.1,110479.0,0.01,22.5,125005,0.968,38420456.0,3842.0,0,2
100030,강남구 동3가 상권,강남구,강남구 동3가,카페/디저트,2024,Q1,37.461388,127.01449,34323,17140,0.3046,0.3,8723,24021,44010,14338,17573,83.1,0.0512,27726.0,0.301,18637.0,12,99,2,2,2.2,28.2,82990.0,0.0275,17.8,52099,0.938,25013253.0,2501.3,0,2
100031,강남구 동3가 상권,강남구,강남구 동3가,음식점/식당,2025,Q2,37.546302,126.987428,19244,8573,0.3035,0.3157,21483,14467,52326,11671,22952,45.8,0.0568,82799.0,0.279,17049.0,7,39,3,0,0.867,-13.5,55502.0,0.01,30.7,30734,0.968,45195045.0,4519.5,1,0
100032,강남구 동3가 상권,강남구,강남구 동3가,미용/뷰티,2025,Q1,37.604797,126.906266,17765,7131,0.3248,0.2689,38937,12797,121970,37470,36572,23.3,0.178,43300.0,0.398,10074.0,5,52,1,1,1.156,51.8,36759.0,0.01,23.4,5200,0.887,60695539.0,6069.6,1,0
100033,강남구 동3가 상권,강남구,강남구 동3가,병의원/클리닉,2026,Q4,37.596484,126.850521,46151,21775,0.3923,0.2928,16127,33003,71989,20619,21677,31.2,0.2515,39387.0,0.222,18198.0,4,18,4,0,0.4,36.9,90970.0,0.0701,24.7,106853,0.914,78620722.0,7862.1,1,0
100034,강남구 동3가 상권,강남구,강남구 동3가,소매/패션,2022,Q4,37.551495,126.938495,24009,9836,0.3835,0.1891,3149,19565,23583,7051,8506,81.6,-0.0059,22136.0,0.39,14181.0,5,40,2,1,0.889,31.7,45364.0,0.0177,6.0,17125,0.959,16603441.0,1660.3,0,1
100035,강남구 동3가 상권,강남구,강남구 동3가,미용/뷰티,2025,Q3,37.487853,126.854952,13546,6338,0.3221,0.298,4874,11916,18441,6375,8058,28.3,-0.1391,56904.0,0.388,15455.0,5,36,0,4,0.8,46.0,66870.0,0.0156,28.5,55522,0.932,17501199.0,1750.1,0,2
100036,강남구 동3가 상권,강남구,강남구 동3가,미용/뷰티,2023,Q4,37.455348,126.871013,36864,14298,0.3499,0.3273,8772,28460,37963,10804,10734,29.9,0.0805,18866.0,0.194,7665.0,9,49,4,2,1.089,68.9,65868.0,0.0339,3.6,37541,0.976,23488004.0,2348.8,0,2
100037,강남구 동4가 상권,강남구,강남구 동4가,소매/패션,2024,Q3,37.452311,127.076609,21958,8725,0.3704,0.3907,93896,18741,206188,49814,69712,23.9,-0.0271,36477.0,0.18,15414.0,7,54,2,4,1.2,64.5,102153.0,0.0638,8.7,118532,0.934,127229097.0,12722.9,1,1
100038,강남구 동4가 상권,강남구,강남구 동4가,소매/패션,2022,Q4,37.567206,126.989251,27378,12508,0.363,0.2858,98548,20785,143121,36719,61948,79.1,0.128,46461.0,0.214,14150.0,4,22,1,2,0.489,41.2,63334.0,0.042,3.1,47238,0.923,104069302.0,10406.9,1,0
100039,강남구 동4가 상권,강남구,강남구 동4가,병의원/클리닉,2024,Q2,37.644279,126.916832,22935,9147,0.4297,0.2553,4490,19283,24730,6221,7199,50.1,0.3317,20481.0,0.359,16986.0,9,77,3,1,1.711,46.6,87043.0,0.0818,31.8,42836,0.96,30257199.0,3025.7,0,2
100040,강남구 동4가 상권,강남구,강남구 동4가,카페/디저트,2022,Q1,37.626189,127.033542,17296,8301,0.4109,0.2538,13820,12765,51191,15939,20055,79.1,0.1621,48220.0,0.404,14929.0,7,62,2,1,1.378,75.4,38280.0,0.0383,17.2,23845,0.982,38739531.0,3874.0,0,1
100041,강남구 동4가 상권,강남구,강남구 동4가,음식점/식당,2026,Q2,37.569617,126.870855,30486,11927,0.2814,0.2727,23568,23894,65311,14587,24687,82.4,0.1806,67770.0,0.267,20413.0,9,80,1,2,1.778,44.1,74239.0,0.0429,32.0,29101,0.878,50230263.0,5023.0,1,2
100042,강남구 동4가 상권,강남구,강남구 동4가,병의원/클리닉,2023,Q3,37.614564,127.061375,19143,9462,0.2949,0.3712,48616,12737,68399,16993,29999,63.2,0.0954,66817.0,0.228,15608.0,1,8,1,2,0.178,47.2,32710.0,0.01,14.3,28516,0.923,108575347.0,10857.5,1,0
100043,강남구 동4가 상권,강남구,강남구 동4가,소매/패션,2022,Q1,37.515411,126.966849,7277,3437,0.3451,0.3149,47513,6102,151031,50770,50371,29.3,0.1828,68291.0,0.374,16556.0,7,36,3,3,0.8,38.4,120664.0,0.0542,23.3,140805,0.954,81318952.0,8131.9,1,1
100044,강남구 동4가 상권,강남구,강남구 동4가,음식점/식당,2025,Q3,37.621412,126.991234,35113,13751,0.2594,0.3197,57440,24060,124974,32619,52976,54.1,0.0031,31541.0,0.346,16877.0,11,78,3,4,1.733,43.9,94914.0,0.0746,19.2,2638,0.983,86199391.0,8619.9,1,2
100045,강남구 동4가 상권,강남구,강남구 동4가,소매/패션,2022,Q3,37.631901,127.117172,17515,7245,0.2441,0.3424,17824,12891,48246,11669,18308,74.0,0.0909,52334.0,0.262,5494.0,9,42,1,1,0.933,69.5,95712.0,0.0803,29.0,94132,0.935,37143774.0,3714.4,0,2
100046,강남구 동4가 상권,강남구,강남구 동4가,소매/패션,2026,Q1,37.476473,126.880029,21909,9546,0.3152,0.2388,31653,15829,44995,15266,16429,56.0,0.1931,25636.0,0.377,13651.0,5,41,2,3,0.911,39.0,93104.0,0.0198,17.5,25837,0.946,38557959.0,3855.8,0,2
100047,강남구 동4가 상권,강남구,강남구 동4가,카페/디저트,2023,Q4,37.524464,126.922388,33022,13137,0.3878,0.3307,71048,25153,92466,28855,36807,70.5,-0.1624,37209.0,0.415,18849.0,15,95,5,1,2.111,38.8,63842.0,0.0277,17.1,200493,0.982,57630177.0,5763.0,0,1
100048,강남구 동4가 상권,강남구,강남구 동4가,병의원/클리닉,2025,Q2,37.456603,126.975773,19682,8716,0.2188,0.2205,19015,15997,39570,12126,14127,80.8,0.1616,63755.0,0.177,19283.0,4,23,2,1,0.511,29.6,34345.0,0.054,34.0,1748,0.919,51211466.0,5121.1,1,0
100049,강남구 동5가 상권,강남구,강남구 동5가,병의원/클리닉,2025,Q2,37.60758,127.128537,26587,13284,0.2645,0.2825,34311,19402,62558,16137,22534,30.8,0.0559,60627.0,0.229,16224.0,14,97,4,3,2.156,35.9,83680.0,0.0745,33.1,97871,0.898,89359895.0,8936.0,1,2
100050,강남구 동5가 상권,강남구,강남구 동5가,병의원/클리닉,2025,Q4,37.473239,127.085744,28262,12178,0.2302,0.2543,96834,20894,247222,84521,106357,68.3,-0.0851,36046.0,0.354,18574.0,7,66,3,3,1.467,38.2,46808.0,0.1052,33.5,92238,0.92,244022718.0,24402.3,1,0
100051,강남구 동5가 상권,강남구,강남구 동5가,음식점/식당,2023,Q3,37.491382,126.927439,26460,11885,0.3536,0.2796,28107,17261,79121,25151,24850,36.9,0.0906,67299.0,0.271,19396.0,5,38,2,3,0.844,39.5,84055.0,0.0357,31.8,3736,0.956,51636377.0,5163.6,1,2
100052,강남구 동5가 상권,강남구,강남구 동5가,카페/디저트,2025,Q4,37.509965,127.130784,36053,14889,0.1728,0.2332,101410,25139,308046,69186,95683,26.1,0.1969,30979.0,0.2,15892.0,7,56,4,4,1.244,47.0,55789.0,0.01,35.4,235635,0.923,129338696.0,12933.9,1,0
100053,강남구 동5가 상권,강남구,강남구 동5가,음식점/식당,2022,Q3,37.605564,127.048541,24599,10044,0.2078,0.2277,6209,16654,20664,7379,6254,50.4,0.0555,62951.0,0.151,11919.0,4,40,2,2,0.889,32.7,57110.0,0.0201,6.7,9484,0.953,21242455.0,2124.2,0,2
100054,강남구 동5가 상권,강남구,강남구 동5가,미용/뷰티,2023,Q2,37.622887,126.907632,11957,5055,0.3535,0.2173,18820,8413,29264,7915,10125,28.4,0.1344,34575.0,0.378,12722.0,2,21,2,2,0.467,46.0,41856.0,0.04,22.2,17292,0.979,27612412.0,2761.2,0,2
100055,강남구 동5가 상권,강남구,강남구 동5가,카페/디저트,2022,Q1,37.535272,126.891177,21139,8432,0.2909,0.15,18249,17421,27598,9399,9314,69.4,0.0926,54385.0,0.331,13794.0,5,35,3,2,0.778,42.7,68244.0,0.0841,9.4,3757,0.857,22287567.0,2228.8,0,2
100056,강남구 동5가 상권,강남구,강남구 동5가,카페/디저트,2026,Q1,37.530304,126.941456,16318,8013,0.327,0.3332,34297,12384,39033,12291,12692,79.4,0.2196,34005.0,0.374,15676.0,7,68,0,1,1.511,34.2,59838.0,0.0501,34.9,43900,0.889,37612516.0,3761.3,0,2
100057,강남구 동5가 상권,강남구,강남구 동5가,미용/뷰티,2022,Q4,37.608411,126.866172,27851,11061,0.3235,0.2441,3900,20908,25824,6604,9482,21.5,0.1967,63409.0,0.336,11988.0,12,53,1,1,1.178,42.8,52037.0,0.0701,36.5,24073,0.899,15641800.0,1564.2,0,2
100058,강남구 동5가 상권,강남구,강남구 동5가,미용/뷰티,2025,Q4,37.632127,126.912774,20724,9978,0.3604,0.2188,23156,16566,47324,10731,13376,71.0,0.0425,37381.0,0.228,13467.0,15,143,2,2,3.178,58.5,82955.0,0.0419,21.8,87314,0.885,22571258.0,2257.1,0,2
100059,강남구 동5가 상권,강남구,강남구 동5가,소매/패션,2024,Q3,37.586426,127.136957,18522,8646,0.2804,0.222,27486,16276,65787,24625,21174,75.9,0.0443,34882.0,0.237,17367.0,12,114,1,4,2.533,30.0,39635.0,0.0849,15.5,18798,0.948,32461555.0,3246.2,0,2
100060,강남구 동5가 상권,강남구,강남구 동5가,소매/패션,2024,Q4,37.478474,126.970732,15222,7457,0.386,0.3119,3376,13072,17340,4883,6650,43.2,-0.0556,45478.0,0.19,21518.0,9,68,1,5,1.511,22.4,77442.0,0.0571,27.6,11885,0.923,16102669.0,1610.3,0,2
100061,강남구 동6가 상권,강남구,강남구 동6가,카페/디저트,2024,Q2,37.596408,126.901298,21682,8982,0.3953,0.2983,64496,14374,158953,46841,58107,37.4,0.1354,69882.0,0.358,15038.0,9,37,1,4,0.822,14.9,76251.0,0.0505,36.9,2822,0.967,80855787.0,8085.6,1,2
100062,강남구 동6가 상권,강남구,강남구 동6가,미용/뷰티,2024,Q3,37.481902,127.107894,26833,11045,0.4599,0.2647,100890,17526,320963,71376,137309,82.5,0.1651,73246.0,0.371,14022.0,7,62,3,3,1.378,50.9,32120.0,0.0491,35.4,101229,0.957,151829664.0,15183.0,1,0
100063,강남구 동6가 상권,강남구,강남구 동6가,병의원/클리닉,2025,Q4,37.63931,126.861035,14188,5535,0.348,0.3069,47199,10531,107293,31820,33835,53.8,0.0482,31551.0,0.204,22085.0,7,57,1,2,1.267,27.1,62672.0,0.0721,9.2,99480,0.872,115137466.0,11513.7,1,0
100064,강남구 동6가 상권,강남구,강남구 동6가,소매/패션,2026,Q1,37.63917,126.892865,17082,7589,0.3661,0.3111,100813,11236,113566,29633,33985,24.3,0.2422,49534.0,0.373,11918.0,14,118,3,1,2.622,17.3,98495.0,0.0128,36.1,7608,0.982,98894079.0,9889.4,1,0
100065,강남구 동6가 상권,강남구,강남구 동6가,미용/뷰티,2026,Q2,37.490816,126.931471,32830,14213,0.2532,0.3272,28150,21858,42360,15391,15613,59.1,0.2588,71476.0,0.281,19803.0,8,79,5,3,1.756,64.5,62680.0,0.0752,15.1,13577,0.938,26043858.0,2604.4,0,2
100066,강남구 동6가 상권,강남구,강남구 동6가,소매/패션,2025,Q1,37.598229,126.856303,16419,6650,0.2648,0.2301,7625,13498,19415,4374,7414,31.7,-0.086,60869.0,0.321,13852.0,9,96,1,1,2.133,32.6,86396.0,0.0423,26.4,13125,0.913,20715721.0,2071.6,0,2
100067,강남구 동6가 상권,강남구,강남구 동6가,소매/패션,2024,Q1,37.477653,126.988514,37890,18777,0.3836,0.247,15925,32340,70352,26489,27255,71.7,0.0156,37921.0,0.159,14393.0,8,74,2,0,1.644,40.5,70266.0,0.0286,3.5,291929,0.971,42268873.0,4226.9,0,0
100068,강남구 동6가 상권,강남구,강남구 동6가,소매/패션,2023,Q2,37.615309,126.935529,12780,5236,0.2718,0.335,28857,10028,66894,19898,22291,57.5,-0.1246,20855.0,0.347,17694.0,2,10,3,0,0.222,63.0,15000.0,0.1212,20.1,27959,0.962,30630798.0,3063.1,0,1
100069,강남구 동6가 상권,강남구,강남구 동6가,병의원/클리닉,2022,Q4,37.535842,127.042832,16147,7970,0.3331,0.2373,6663,12506,29103,10228,10825,80.6,0.12,29623.0,0.24,14873.0,7,75,4,2,1.667,74.9,67982.0,0.1126,37.8,19562,0.933,34388243.0,3438.8,0,2
100070,강남구 동6가 상권,강남구,강남구 동6가,음식점/식당,2024,Q1,37.598296,127.031841,29876,12397,0.2547,0.3092,44365,26171,93709,31006,35665,21.5,0.0747,77506.0,0.163,10009.0,14,153,2,2,3.4,74.3,67716.0,0.0824,25.4,154511,0.853,51101519.0,5110.2,0,2
100071,강남구 동6가 상권,강남구,강남구 동6가,소매/패션,2023,Q3,37.485771,126.989262,33482,15271,0.2232,0.2292,8505,27712,39328,9495,14494,77.3,0.0951,42678.0,0.234,27861.0,11,102,2,0,2.267,56.3,79638.0,0.0326,14.4,18166,0.883,28444730.0,2844.5,0,1
100072,강남구 동6가 상권,강남구,강남구 동6가,음식점/식당,2025,Q1,37.488115,127.098121,17920,7826,0.1371,0.2705,60989,13655,99151,32562,35669,66.8,-0.0114,40070.0,0.373,4507.0,5,37,2,2,0.822,38.4,35632.0,0.0559,6.5,23678,0.875,68662488.0,6866.2,1,1
100073,강남구 동7가 상권,강남구,강남구 동7가,소매/패션,2025,Q3,37.582612,126.894443,31582,12654,0.3273,0.317,5510,25323,26595,8914,10688,29.4,-0.0148,38553.0,0.364,16735.0,8,57,2,1,1.267,66.0,90137.0,0.0594,17.4,58147,0.856,29112222.0,2911.2,0,2
100074,강남구 동7가 상권,강남구,강남구 동7가,음식점/식당,2022,Q1,37.495175,126.893582,22131,10527,0.3502,0.2523,1619,18700,17844,4498,6988,57.0,0.2584,50020.0,0.151,15823.0,9,63,4,3,1.4,38.6,15000.0,0.0182,33.0,10745,0.879,15889167.0,1588.9,0,2
100075,강남구 동7가 상권,강남구,강남구 동7가,카페/디저트,2024,Q3,37.642329,126.890395,20977,9928,0.377,0.3355,16629,18024,26848,8967,8912,63.9,0.2891,50949.0,0.34,19245.0,2,20,4,1,0.444,17.3,56498.0,0.0972,26.0,6073,0.971,24233580.0,2423.4,0,2
100076,강남구 동7가 상권,강남구,강남구 동7가,카페/디저트,2025,Q3,37.598631,126.938469,26074,10859,0.4209,0.3212,77049,19113,248736,69368,100622,25.0,0.0181,49815.0,0.183,17869.0,9,51,2,3,1.133,33.1,77624.0,0.0282,22.0,81475,0.905,107808292.0,10780.8,1,0
100077,강남구 동7가 상권,강남구,강남구 동7가,소매/패션,2024,Q3,37.502919,126.977943,26884,13272,0.3999,0.3356,49595,21219,84386,28400,34477,43.5,0.0016,50420.0,0.407,8772.0,8,81,5,0,1.8,62.1,49365.0,0.0379,7.6,9405,0.933,57577119.0,5757.7,1,0
100078,강남구 동7가 상권,강남구,강남구 동7가,미용/뷰티,2022,Q4,37.594595,127.099027,23612,9554,0.4912,0.3354,59591,18601,192440,67097,60014,55.0,-0.0086,32307.0,0.301,20026.0,7,75,4,2,1.667,38.6,25480.0,0.0892,13.0,5811,0.916,90576686.0,9057.7,1,1
100079,강남구 동7가 상권,강남구,강남구 동7가,소매/패션,2022,Q4,37.547889,126.875048,16823,7318,0.4211,0.3172,31147,14596,83273,22349,30378,54.2,-0.0186,42242.0,0.266,12041.0,5,41,2,2,0.911,59.4,70748.0,0.0555,13.4,31504,0.97,58552986.0,5855.3,1,1
100080,강남구 동7가 상권,강남구,강남구 동7가,카페/디저트,2022,Q4,37.544748,126.897642,26939,13217,0.2755,0.3446,8304,18997,38091,12584,14439,78.6,0.0247,51722.0,0.267,8273.0,11,100,5,2,2.222,51.5,49749.0,0.0129,34.9,46179,0.873,23818141.0,2381.8,0,2
100081,강남구 동7가 상권,강남구,강남구 동7가,카페/디저트,2025,Q2,37.538064,127.00511,30744,14187,0.2686,0.2646,25475,20218,53414,20104,17787,35.7,0.1122,40982.0,0.223,20532.0,8,46,2,3,1.022,65.1,77155.0,0.0978,22.5,73005,0.942,32920417.0,3292.0,0,2
100082,강남구 동7가 상권,강남구,강남구 동7가,미용/뷰티,2022,Q3,37.590166,127.135053,22379,9646,0.4041,0.404,33185,14733,77428,22558,33670,24.7,0.0051,55735.0,0.281,5513.0,11,86,1,2,1.911,53.9,60055.0,0.0982,3.6,38659,0.892,43321446.0,4332.1,0,2
100083,강남구 동7가 상권,강남구,강남구 동7가,카페/디저트,2024,Q2,37.462459,126.859152,27454,10781,0.3562,0.3932,11496,23465,33274,7586,14251,68.5,-0.0064,55392.0,0.354,15980.0,7,58,1,5,1.289,59.4,54520.0,0.088,22.4,41054,0.984,22904663.0,2290.5,0,2
100084,강남구 동7가 상권,강남구,강남구 동7가,미용/뷰티,2024,Q2,37.569241,126.919644,22217,11102,0.2681,0.2859,2070,17076,16437,4400,6601,59.2,-0.2271,42345.0,0.412,18087.0,5,49,1,2,1.089,37.6,70023.0,0.0599,3.1,6351,0.919,17039652.0,1704.0,0,2
100085,강남구 동8가 상권,강남구,강남구 동8가,음식점/식당,2024,Q2,37.630053,126.889984,30364,13399,0.2948,0.3191,11369,24986,54048,14201,16177,76.6,0.077,25464.0,0.287,9485.0,11,44,5,3,0.978,50.5,88062.0,0.0178,24.3,88070,0.94,37469034.0,3746.9,0,2
100086,강남구 동8가 상권,강남구,강남구 동8가,음식점/식당,2024,Q1,37.647298,127.133305,14146,6168,0.3558,0.2624,60505,9988,95810,34996,32761,54.0,-0.1105,42621.0,0.337,12944.0,12,77,1,1,1.711,54.3,68089.0,0.0489,5.4,59510,0.922,70100929.0,7010.1,1,0
